name,glass,ice,category,ingredients,instructions
Highball,Highball,Full ice,Stirred,"Whisky 60ml, Club soda top","Pour ice, whisky, 1 wedge of lime and club soda into glass. Stir."
Gin Fizz,Highball,Full ice,Stirred,"Gin 60ml, Sour mix 30ml, Club soda top","Pour ice, gin, sour mix and club soda into glass. Stir."
Vodka Soda Lime,Highball,Full ice,Stirred,"Vodka 60ml, Club soda top","Pour ice, vodka, 1 wedge of lime and club soda into glass. Stir."
Vodka Cranberry,Highball,Full ice,Stirred,"Vodka 60ml, Cranberry juice top","Pour ice, vodka and cranberry juice into glass. Stir."
Vodka Orange,Highball,Full ice,Stirred,"Vodka 60ml, Orange juice top","Pour ice, vodka and orange juice into glass. Stir."
Rum Coke,Highball,Full ice,Stirred,"Rum 60ml, Coke top","Pour ice, rum and coke into glass. Stir."
Captain Morgan Coke,Highball,Full ice,Stirred,"Captain Morgan 60ml, Coke top","Pour ice, Captain Morgan and coke into glass. Stir."
Captain Morgan Ginger Ale,Highball,Full ice,Stirred,"Captain Morgan 60ml, Ginger ale top","Pour ice, Captain Morgan and ginger ale into glass. Stir."
Whisky Soda,Highball,Full ice,Stirred,"Whisky 60ml, Club soda top","Pour ice, whisky and club soda into glass. Stir."
Whisky Coke,Highball,Full ice,Stirred,"Whisky 60ml, Coke top","Pour ice, whisky and coke into glass. Stir."
Whisky Ginger Ale,Highball,Full ice,Stirred,"Whisky 60ml, Ginger ale top","Pour ice, whisky and ginger ale into glass. Stir."
Tequila Sunrise,Highball,Full ice,Stirred,"Tequila 60ml, Orange juice top, Grenadine syrup 10ml","Pour ice, tequila and orange juice into glass. Stir and top with grenadine syrup."
Sex on the Beach,Highball,Full ice,Stirred,"Vodka 20ml, Peach liqueur 40ml, Cranberry juice top (90%), Orange juice top","Pour ice, vodka, peach liqueur and cranberry juice into glass. Stir and top with orange juice."
Vodka Lime,Whisky,Full ice,Shaken,"Vodka 60ml, 1/2 lime, 2tsp white sugar","Cut 1/2 lime into thirds, and then into thirds again (total 9 pieces of lime). In a shaker, put the lime, sugar and vodka. Add ice, shake, pour into glass."
Caipirinha,Whisky,Full ice,Shaken,"Cachaca 51 60ml, 1/2 lime, 2tsp white sugar","Cut 1/2 lime into thirds, and then into thirds again (total 9 pieces of lime). In a shaker, put the lime, sugar and cachaca. Add ice, shake, pour into glass."
Melon Highball,Highball,Full ice,Stirred,"Whisky 20ml, Melon liqueur 40ml, Orange juice 10ml, Club soda top","Pour ice, whisky, melon liqueur, 1 wedge of lime, orange juice and club soda into glass. Stir."
